20246907,410496319,-739823,407512
20246906,410496327,-739891,407584
20246909,410496327,-739918,407606
20246908,410496329,-739872,407333
20246905,410496338,-739595,407112
20247053,410496415,-739903,407388
20247054,410496445,-739934,407292
20247052,410496479,-739978,407455
20247056,410496559,-739862,407477
20247057,410496561,-739851,407620
20282251,410496575,48871,523410
20247400,410496706,-739862,407564
20247399,410496710,-739851,407592
20247593,410496857,-739846,407586
20247594,410496881,-739838,407588
20247685,410496917,-739765,407483
20247686,410496918,-739812,407388
20247684,410496925,-739759,407317
20247922,410497082,-739849,407590
20247962,410497133,-739814,407328
20247963,410497134,-739777,407401
20247960,410497137,-739861,407566
20247961,410497139,-739943,407476
20299782,410497248,-751849,398125
20248221,410497259,-739793,407590
20248220,410497263,-739752,407615
20248219,410497264,-739876,407646
20248218,410497275,-739834,407656
20248217,410497277,-739689,407558
20248416,410497549,-739924,407275
20248655,410497554,-739939,407434
20248414,410497555,-739884,407346
20248413,410497559,-739874,407220
20248415,410497573,-739862,407564
20248417,410497573,-739863,407566
20248784,410497758,-739737,407554
20248785,410497759,-740135,407101
20248783,410497771,-740018,407516
20248954,410497931,-739866,407404
20248953,410497941,-739942,407258
20249060,410497981,-739848,407641
20249059,410497982,-739832,407384
20249058,410497988,-739735,407556
20249393,410498090,-740005,407449
20249397,410498180,-739793,407788
20249396,410498181,-739852,407275
20249394,410498183,-739911,407604
20249395,410498188,-739723,407135
20249960,410498246,-739855,407409
20249692,410498259,-740026,407398
20249690,410498291,-739881,407282
20249689,410498306,-739835,407535
20249693,410498320,-739836,407537
20249691,410498324,-739925,407501
20249963,410498343,-739653,407871
20249964,410498524,-739740,407634
20249962,410498526,-739776,407584
20249961,410498530,-739794,407585
20250192,410498627,-739806,407619
20250190,410498629,-739864,407606
20250188,410498641,-739787,407587
20250185,410498657,-739706,407554
20250183,410498659,-739773,407584
20250468,410498767,-739849,407592
20250467,410498784,-739855,407482
20250466,410498831,-739796,407273
20250465,410498839,-739883,407348
20250464,410498850,-739941,407539
20250671,410499050,-739904,407575
20250669,410499062,-739896,407347
20250670,410499075,-739931,407543
20250668,410499079,-739820,407304
20250667,410499090,-739878,407547
20269711,410499367,-739838,407540
20250837,410499373,-739882,407042
20250840,410499393,-739922,407619
20250838,410499396,-740125,407161
20250839,410499404,-739786,407587
20250897,410499418,-739929,407631
20251028,410499543,-739804,407268
20251033,410499560,-739935,407292
20251031,410499561,-739563,407141
20251032,410499563,-739866,407603
20251030,410499565,-739686,407624
20251202,410499753,-739757,407516
20251203,410499756,-740100,407164
20251207,410499765,-739446,407270
20251206,410499766,-739855,407482
20251205,410499769,-739888,407569
20251504,410499920,-739852,407456
20251502,410499939,-739862,407564
20251503,410499942,-739911,407531
20251500,410499949,-739784,407297
20251501,410499959,-739854,407282
20251995,410500168,-740038,407376
20251996,410500174,-739860,407380
20251993,410500177,-739861,407260
20251994,410500179,-739853,407546
20291375,410500179,-1195,515033
20251992,410500181,-739795,407455
20252196,410500230,-740009,407341
20252195,410500293,-739822,407532
20252194,410500295,-739890,407344
20252192,410500341,-739967,407333
20252193,410500342,-739871,407293
20253021,410500602,-739883,407566
20253019,410500612,-739863,407280
20253020,410500612,-739855,407482
20253017,410500619,-739898,407571
20253018,410500619,-739924,407243
20253131,410500824,-739692,407552
20253130,410500832,-739851,407104
20253132,410500845,-739528,407693
20253664,410501036,-739447,407270
20253663,410501051,-739820,407281
20253667,410501074,-739924,407566
20253666,410501081,-739803,407583
20253668,410501092,-739852,407636
20253886,410501278,-739895,407575
20253889,410501279,-739826,407278
20253888,410501280,-739916,407245
20253885,410501282,-739637,407558
20253887,410501297,-739806,407288
20254026,410501480,-739583,407723
20254024,410501484,-739852,407234
20254023,410501485,-739778,407459
20254070,410501503,-739889,407563
20254069,410501504,-739843,407583
20291258,410501615,-740059,407143
20254372,410501723,-739856,407384
20254375,410501725,-739769,407427
20254376,410501729,-739889,407634
20254373,410501732,-739680,407609
20254374,410501733,-739730,407639
20254905,410501921,-739888,407569
20254904,410501928,-739723,407135
20255222,410502173,-739838,407636
20255219,410502174,-739919,407490
20255220,410502181,-739774,407344
20255773,410502183,-739784,407628
20255772,410502184,-739786,407587
20255218,410502185,-739898,407174
20257476,410502196,-739801,407848
20255771,410502216,-739791,407590
20255769,410502229,-739730,407639
20255770,410502229,-739733,407828
20279518,410502326,-1276,515073
20255962,410502518,-739791,407561
20255959,410502561,-739848,407584
20255961,410502568,-739770,407543
20255958,410502579,-739891,407276
20255960,410502585,-739886,407418
20256215,410502591,-739830,407276
20288327,410502591,-385433,-37183
20256217,410502621,-739788,407274
20256216,410502691,-739826,407452
20256214,410502712,-739792,407460
20256218,410502800,-739852,407564
20256605,410503018,-739987,407332
20256604,410503027,-739886,407566
20256602,410503051,-740019,407318
20256603,410503066,-739849,407483
20256601,410503074,-739880,407588
20257110,410503230,-739976,407308
20257108,410503241,-739935,407471
20257109,410503247,-739858,407285
20257107,410503250,-739832,407385
20257106,410503262,-739545,407188
20257479,410503388,-739738,407641
20257478,410503395,-739736,407650
20257477,410503409,-739769,407613
20257475,410503428,-739782,407772
20257734,410503710,-739990,407417
20257733,410503711,-739765,407585
20257774,410503723,-739890,407571
20257773,410503734,-739879,407664
20257776,410503757,-739994,407283
20258004,410503888,-739868,407611
20258006,410503888,-739930,407568
20258003,410503895,-739738,407555
20258011,410503907,-740058,407401
20258010,410503910,-739721,407562
20258508,410503997,-739830,407789
20258507,410504000,-739766,407613
20258506,410504011,-739846,407606
20258505,410504020,-739770,407636
20258504,410504040,-739851,407771
20258992,410504262,-739853,407498
20258991,410504265,-739922,407361
20258990,410504274,-739737,407555
20258989,410504282,-739429,407204
20258988,410504287,-739868,407611
20265058,410506276,1396973,357007
20404114,410506568,-735762,455031
23888151,410507755,1205863,151671
20433855,410512708,73679,482333
20349063,410513105,-101000,91833
20398835,410517513,1082148,160515
20275045,410517590,-1943,514222
20283786,410517757,375999,557500
20283785,410517849,376184,557512
20374585,410517862,288061,470252
20275046,410517900,-2056,514171
20475106,410518240,728105,193784
20274422,410518348,-740059,407143
